name,domains,web_pages,country,alpha_two_code,state-province
Tietgen Business College,['tietgen.dk'],['http://www.tietgen.dk/'],Denmark,DK,
VIA University College,['en.via.dk'],['https://en.via.dk/'],Denmark,DK,
Université de Djibouti,['univ.edu.dj'],['http://www.univ.edu.dj/'],Djibouti,DJ,
Dominica State College,['dsc.dm'],['http://www.dsc.dm/'],Dominica,DM,
New World University,['newworld.ac'],['http://www.newworld.ac/'],Dominica,DM,
Ross University Caribbean School of Medicine,['rossu.edu'],['http://www.rossu.edu/medical-school/'],Dominica,DM,
Universidad Dominico-Americana,['icda.edu.do'],['http://www.icda.edu.do/espanol/unicda/'],Dominican Republic,DO,
Instituto Tecnológico de Santo Domingo,['intec.edu.do'],['http://www.intec.edu.do/'],Dominican Republic,DO,
Instituto Tecnológico de Las Américas,['itla.edu.do'],['https://itla.edu.do/'],Dominican Republic,DO,
Universidad Católica Madre y Maestra,['pucmm.edu.do'],['http://www.pucmm.edu.do/'],Dominican Republic,DO,
Universidad Agroforestal Fernando A.Meriño,['uafam.edu.do'],['http://www.uafam.edu.do/'],Dominican Republic,DO,
Universidad Abierta Para Adultos,['uapa.edu.do'],['http://www.uapa.edu.do/'],Dominican Republic,DO,
Universidad Autónoma de Santo Domingo,['uasd.edu.do'],['http://www.uasd.edu.do/'],Dominican Republic,DO,
Universidad Católica Tecnológica del Cibao,['ucateci.edu.do'],['http://www.ucateci.edu.do/'],Dominican Republic,DO,
Universidad Central del Este,['uce.edu.do'],['http://www.uce.edu.do/'],Dominican Republic,DO,
Universidad Católica Nordestana,['ucne.edu.do'],['http://www.ucne.edu.do/'],Dominican Republic,DO,
Universidad Católica de Santo Domingo,['ucsd.edu.do'],['http://www.ucsd.edu.do/'],Dominican Republic,DO,
Universidad Dominicana O&M,['udoym.edu.do'],['http://www.udoym.edu.do/'],Dominican Republic,DO,
Universidad Federico Henríquez y Carvajal,['ufhec.edu.do'],['http://www.ufhec.edu.do/'],Dominican Republic,DO,
Universidad Adventista Dominicana,['unad.edu.do'],['http://www.unad.edu.do/'],Dominican Republic,DO,
Universidad APEC,['unapec.edu.do'],['http://www.unapec.edu.do/'],Dominican Republic,DO,
Universidad Experimental Felix Adam,['unefa.edu.do'],['http://www.unefa.edu.do/'],Dominican Republic,DO,
Universidad Nacional Evangélica,['unev-rd.edu.do'],['http://www.unev-rd.edu.do/'],Dominican Republic,DO,
Universidad Iberoamericana,['unibe.edu.do'],['http://www.unibe.edu.do/'],Dominican Republic,DO,
Universidad Interamericana,['unica.edu.do'],['http://www.unica.edu.do/'],Dominican Republic,DO,
Universidad del Caribe,['unicaribe.edu.do'],['http://www.unicaribe.edu.do/'],Dominican Republic,DO,
Universidad Eugenio Maria de Hostos,['uniremhos.edu.do'],['http://www.uniremhos.edu.do/'],Dominican Republic,DO,
Universidad Nacional Pedro Henríquez Ureña,['unphu.edu.do'],['http://www.unphu.edu.do/'],Dominican Republic,DO,
Universidad Odontológica Dominicana,['uod.edu.do'],['http://www.uod.edu.do/'],Dominican Republic,DO,
Universidad de la Tercera Edad,['ute.edu.do'],['http://www.ute.edu.do/'],Dominican Republic,DO,
Universidad Tecnológica de Santiago,['utesa.edu'],['http://www.utesa.edu/'],Dominican Republic,DO,
Universidad Tecnológica del Sur,['utesur.edu.do'],['http://www.utesur.edu.do/'],Dominican Republic,DO,
Brookdale Community College,['brookdale.edu.ec'],['http://www.brookdale.edu.ec/'],Ecuador,EC,
Brookings Institution,['brookings.edu'],['https://www.brookings.edu/'],United States,US,
Woods Hole Oceanographic Institution,['whoi.edu'],['https://www.whoi.edu/'],United States,US,
Universidad Casa Grande,['casagrande.edu.ec'],['http://www.casagrande.edu.ec/'],Ecuador,EC,
Escuela Politécnica Nacional,['epn.edu.ec'],['http://www.epn.edu.ec/'],Ecuador,EC,
Escuela Politécnica del Ejercito,['espe.edu.ec'],['http://www.espe.edu.ec'],Ecuador,EC,
Escuela Politécnica de Chimborazo,['espoch.edu'],['http://www.espoch.edu/'],Ecuador,EC,
Escuela Superior Politécnica del Litoral,['espol.edu.ec'],['http://www.espol.edu.ec/'],Ecuador,EC,
Universidad Tecnológica Indoamérica,['indoamerica.edu.ec'],['http://www.indoamerica.edu.ec/'],Ecuador,EC,
Universidad Internacional del Ecuador,['internacional.edu.ec'],['http://www.internacional.edu.ec/'],Ecuador,EC,
Pontificia Universidad Católica del Ecuador,['puce.edu.ec'],['http://www.puce.edu.ec/'],Ecuador,EC,
"Universidad Internacional SEK, Quito",['sek.edu'],['http://www.sek.edu/html/ecuador.html'],Ecuador,EC,
Universidad Agraria del Ecuador,['uagraria.edu.ec'],['http://www.uagraria.edu.ec/'],Ecuador,EC,
Universidad Andina Simón Bolívar,['uasb.edu.ec'],['http://www.uasb.edu.ec/'],Ecuador,EC,
Universidad del Azuay,['uazuay.edu.ec'],['http://www.uazuay.edu.ec/'],Ecuador,EC,
Universidad Catolica de Azogues,['ucaazo.edu.ec'],['http://www.ucaazo.edu.ec/'],Ecuador,EC,
Universidad Católica de Cuenca,['ucacue.edu.ec'],['http://www.ucacue.edu.ec/'],Ecuador,EC,
Universidad Central del Ecuador,['ucentral.edu.ec'],['http://www.ucentral.edu.ec/'],Ecuador,EC,
Universidad Católica de Santiago de Guayaquil,['ucsg.edu.ec'],['http://www.ucsg.edu.ec/'],Ecuador,EC,
Universidad de Especialidades Turísticas,['uct.edu.ec'],['http://www.uct.edu.ec/'],Ecuador,EC,
Universidad de Cuenca,['ucuenca.edu.ec'],['http://www.ucuenca.edu.ec/'],Ecuador,EC,
Universidad Estatal de Bolívar,['ueb.isfun.net'],['http://www.ueb.isfun.net/'],Ecuador,EC,
Universidad de Especialidades del Espíritu Santo,['uees.edu.ec'],['http://www.uees.edu.ec/'],Ecuador,EC,
Universidad de Guayaquil,['ug.edu.ec'],['http://www.ug.edu.ec/'],Ecuador,EC,
Universidad Tecnologica Israel,['uisrael.ec'],['http://www.uisrael.ec/'],Ecuador,EC,
"Universidad Laica ""Vicente Rocafuerte"" de Guayaquil",['ulaicavr.com'],['http://www.ulaicavr.com/'],Ecuador,EC,
"Universidad Laica ""Eloy Alfaro"" de Manabi",['uleam.edu.ec'],['http://www.uleam.edu.ec/'],Ecuador,EC,
Universidad Nacional de Chimborazo,['unach.edu.ec'],['http://www.unach.edu.ec/'],Ecuador,EC,
Universidad Tecnológica América,['unita.edu.ec'],['http://www.unita.edu.ec/'],Ecuador,EC,
Universidad Nacional de Loja,['unl.edu.ec'],['http://www.unl.edu.ec/'],Ecuador,EC,
Universidad del Pacifico,['upacifico.edu.ec'],['http://www.upacifico.edu.ec/'],Ecuador,EC,
Universidad Politécnica Salesiana,['ups.edu.ec'],['http://www.ups.edu.ec/'],Ecuador,EC,
Universidad San Francisco de Quito,['usfq.edu.ec'],['http://www.usfq.edu.ec/'],Ecuador,EC,
Universidad Santa María Campus Guayaquil,['usm.edu.ec'],['http://www.usm.edu.ec/'],Ecuador,EC,
Universidad Técnica de Ambato,['uta.edu.ec'],['http://www.uta.edu.ec/'],Ecuador,EC,
Universidad Técnica de Babahoyo,['utb.edu.ec'],['http://www.utb.edu.ec/'],Ecuador,EC,
Universidad Técnica de Cotopaxi,['utc.edu.ec'],['http://www.utc.edu.ec/'],Ecuador,EC,
Universidad Tecnológica Equinoccial,['ute.edu.ec'],['http://www.ute.edu.ec/'],Ecuador,EC,
"Universidad Técnica de Esmeraldas ""Luis Vargas Torres""",['utelvt.edu.ec'],['http://www.utelvt.edu.ec/'],Ecuador,EC,
Universidad Técnica Estatal de Quevedo,['uteq.edu.ec'],['http://www.uteq.edu.ec/'],Ecuador,EC,
Universidad Técnica de Machala,['utmachala.edu.ec'],['http://www.utmachala.edu.ec/'],Ecuador,EC,
Universidad Técnica de Manabí,['utm.edu.ec'],['http://www.utm.edu.ec/'],Ecuador,EC,
Universidad Técnica del Norte,['utn.edu.ec'],['http://www.utn.edu.ec/'],Ecuador,EC,
Universidad Técnica Particular de Loja,['utpl.edu.ec'],['http://www.utpl.edu.ec/'],Ecuador,EC,
Universidad Tecnológica San Antonio de Machala,['utsam.edu.ec'],['http://www.utsam.edu.ec/'],Ecuador,EC,
Arab Academy for Science & Technology,['aast.edu'],['http://www.aast.edu/'],Egypt,EG,
Akhbar El Yom Academy,['akhbaracademy.edu.eg'],['http://www.akhbaracademy.edu.eg/'],Egypt,EG,
Alexandria University,['alex.edu.eg'],['http://www.alex.edu.eg/'],Egypt,EG,
Arab Open University,['aou.edu.eg'],['http://www.aou.edu.eg/'],Egypt,EG,
American University in Cairo,['aucegypt.edu'],['http://www.aucegypt.edu/'],Egypt,EG,
Assiut University,['aun.edu.eg'],['http://www.aun.edu.eg/'],Egypt,EG,
Al Azhar University,['azhar.edu.eg'],['http://www.azhar.edu.eg/'],Egypt,EG,
Beni Suef University,['bsu.edu.eg'],['http://www.bsu.edu.eg/'],Egypt,EG,
Benha University,['bu.edu.eg'],['http://www.bu.edu.eg/'],Egypt,EG,
Cairo University,['cu.edu.eg'],['http://www.cu.edu.eg/'],Egypt,EG,
Damanhour University,['damanhour.edu.eg'],['http://www.damanhour.edu.eg/'],Egypt,EG,
Damietta University,['du.edu.eg'],['http://www.du.edu.eg/'],Egypt,EG,
El Shorouk Academy,['elshoroukacademy.edu.eg'],['http://www.elshoroukacademy.edu.eg/'],Egypt,EG,
Fayoum University,['fayoum.edu.eg'],['http://www.fayoum.edu.eg/'],Egypt,EG,
Future University,['futureuniversity.edu.eg'],['http://www.futureuniversity.edu.eg/'],Egypt,EG,
German University in Cairo,['guc.edu.eg'],['http://www.guc.edu.eg/'],Egypt,EG,
Helwan University,['helwan.edu.eg'],['http://www.helwan.edu.eg/'],Egypt,EG,
Higher Technological Institute,['hti.edu.eg'],['http://www.hti.edu.eg/'],Egypt,EG,
Kafr El-Sheikh University,['kfs.edu.eg'],['http://www.kfs.edu.eg/'],Egypt,EG,
Mansoura University,['mans.edu.eg'],['http://www.mans.edu.eg/'],Egypt,EG,
Menoufia University,['menofia.edu.eg'],['http://www.menofia.edu.eg/'],Egypt,EG,
Minia University,['minia.edu.eg'],['http://www.minia.edu.eg/'],Egypt,EG,
Misr International University,['miuegypt.edu.eg'],['http://www.miuegypt.edu.eg/'],Egypt,EG,
Modern Acadmy,['modern-academy.edu.eg'],['http://www.modern-academy.edu.eg/'],Egypt,EG,
Modern Sciences & Arts University,['msa.eun.eg'],['http://www.msa.eun.eg/'],Egypt,EG,
Military Technical College,['mtc.edu.eg'],['http://www.mtc.edu.eg/'],Egypt,EG,
Modern University For Technology and Information,['mti.edu.eg'],['http://www.mti.edu.eg/'],Egypt,EG,
Misr University for Sience and Technology,['must.edu.eg'],['http://www.must.edu.eg/'],Egypt,EG,
Nile University,"['nileu.edu.eg', 'nu.edu.eg']",['http://www.nileu.edu.eg/'],Egypt,EG,
October 6 university,['o6u.edu.eg'],['http://www.o6u.edu.eg/'],Egypt,EG,
Pharos International University,['pua.edu.eg'],['http://www.pua.edu.eg/'],Egypt,EG,
Sadat Academy for Management Sciences,['sadatacademy.edu.eg'],['http://www.sadatacademy.edu.eg/'],Egypt,EG,
Ain Shams University,"['shams.edu.eg', 'asu.edu.eg', 'eng.asu.edu.eg']",['https://www.asu.edu.eg/'],Egypt,EG,
Sohag University,['sohag-univ.edu.eg'],['http://www.sohag-univ.edu.eg/'],Egypt,EG,
Sinai University,['su.edu.eg'],['http://www.su.edu.eg/'],Egypt,EG,
Suez Canal University,['suez.edu.eg'],['http://www.suez.edu.eg/'],Egypt,EG,
South Valley University,['svu.edu.eg'],['http://www.svu.edu.eg/'],Egypt,EG,
Tanta University,['tanta.edu.eg'],['http://www.tanta.edu.eg/'],Egypt,EG,
Université Française d'Égypte,['ufe.edu.eg'],['http://www.ufe.edu.eg/'],Egypt,EG,
Université Senghor d'Alexandrie,['usenghor-francophonie.org'],['http://www.usenghor-francophonie.org/'],Egypt,EG,
Zagazig University,['zu.edu.eg'],['http://www.zu.edu.eg/'],Egypt,EG,
Universidad Don Bosco,['cdb.edu.sv'],['http://www.cdb.edu.sv/'],El Salvador,SV,
Universidad Luterana Salvadorena,['netcomsa.com'],['http://www.netcomsa.com/uls/'],El Salvador,SV,
Universidad Albert Einstein,['uae.edu.sv'],['http://www.uae.edu.sv/'],El Salvador,SV,
Universidad Cristiana de las Asambleas de Dios,['ucad.edu.sv'],['http://www.ucad.edu.sv/'],El Salvador,SV,
"Universidad Centroamericana ""José Simeón Canas""",['uca.edu.sv'],['http://www.uca.edu.sv/'],El Salvador,SV,
Universidad Evangélica de El Salvador,['uees.edu.sv'],['http://www.uees.edu.sv/'],El Salvador,SV,
Universidad de El Salvador,['ues.edu.sv'],['http://www.ues.edu.sv/'],El Salvador,SV,
Universidad Francisco Gavidia,['ufg.edu.sv'],['http://www.ufg.edu.sv/'],El Salvador,SV,
Universidad Capitain General Gerardo Barrios,['ugb.edu.sv'],['http://www.ugb.edu.sv/'],El Salvador,SV,
Universidad Dr. Jose Matias Delgado,['ujmd.edu.sv'],['http://www.ujmd.edu.sv/'],El Salvador,SV,
Universidad Modular Abierta,['uma.edu.sv'],['http://www.uma.edu.sv/'],El Salvador,SV,
Universidad Monsenor Oscar Arnulfo Romeo,['umoar.edu.sv'],['http://www.umoar.edu.sv/'],El Salvador,SV,
Universidad Dr. Andreas Bello,['unab.edu.sv'],['http://www.unab.edu.sv/'],El Salvador,SV,
Universidad Autónoma de Santa Ana,['unasa.edu.sv'],['http://www.unasa.edu.sv/'],El Salvador,SV,
Universidad Católica de Occidente,['unico.edu.sv'],['http://www.unico.edu.sv/'],El Salvador,SV,
Universidad Pedagógica de El Salvador,['universidadpedagogica.com'],['http://www.universidadpedagogica.com/'],El Salvador,SV,
Universidad de Oriente,['univo.edu.sv'],['http://www.univo.edu.sv/'],El Salvador,SV,
Universidad Nueva San Salvador,['unssa.edu.sv'],['http://www.unssa.edu.sv/'],El Salvador,SV,
Universidad Panamericana de San Salvador,['upan.edu.sv'],['http://www.upan.edu.sv/'],El Salvador,SV,
Universidad Politécnica de El Salvador,['upes.edu.sv'],['http://www.upes.edu.sv/'],El Salvador,SV,
"Universidad Salvadorena ""Alberto Masferrer""",['usam.edu.sv'],['http://www.usam.edu.sv/'],El Salvador,SV,
Universidad Isaac Newton,['usin.edu.sv'],['http://www.usin.edu.sv/'],El Salvador,SV,
Universidad de Sonsonate,['usonsonate.edu.sv'],['http://www.usonsonate.edu.sv/'],El Salvador,SV,
Universidad Tecnológica de El Salvador,['utec.edu.sv'],['http://www.utec.edu.sv/'],El Salvador,SV,
Universidad Técnica Latinoamericana,['utla.edu.sv'],['http://www.utla.edu.sv/'],El Salvador,SV,
Universidad Nacional de Guinea Ecuatorial,['unge.gq'],['http://www.unge.gq/'],Equatorial Guinea,GQ,
Eritrea Institute of Technology,['eit.edu.er'],['http://www.eit.edu.er/'],Eritrea,ER,
Estonian Academy of Arts,['artun.ee'],['http://www.artun.ee/'],Estonia,EE,
Estonian Business School,['ebs.ee'],['http://www.ebs.ee/'],Estonia,EE,
Estonian Academy of Music and Theatre,['ema.edu.ee'],['http://www.ema.edu.ee/'],Estonia,EE,
Estonian University of Life Sciences,['emu.ee'],['http://www.emu.ee/'],Estonia,EE,
Tartu Health Care College,['nooruse.ee'],['http://www.nooruse.ee/'],Estonia,EE,
Estonian Academy of Security Sciences,['sisekaitse.ee'],['http://www.sisekaitse.ee/'],Estonia,EE,
University of Applied Sciences,['tktk.ee'],['http://www.tktk.ee/'],Estonia,EE,
Tallinn University,['tlu.ee'],['http://www.tlu.ee/'],Estonia,EE,
Tallinn University of Technology,['ttu.ee'],['http://www.ttu.ee/'],Estonia,EE,
University of Tartu,['ut.ee'],['http://www.ut.ee/'],Estonia,EE,
Addis Ababa Science & Technology University,['aastu.org'],['http://www.aastu.org/'],Ethiopia,ET,
Addis Ababa University,['aau.edu.et'],['http://www.aau.edu.et/'],Ethiopia,ET,
Adigrat University,['adu.edu.et'],['http://www.adu.edu.et/'],Ethiopia,ET,
Aksum University,['aku.edu.et'],['http://www.aku.edu.et/'],Ethiopia,ET,
Ambo University,['ambou.edu.et'],['http://www.ambou.edu.et/'],Ethiopia,ET,
Arba Minch University,['amu.edu.et'],['http://www.amu.edu.et/'],Ethiopia,ET,
Adama Science and Technology University,['astu.edu.et'],['http://www.astu.edu.et/'],Ethiopia,ET,
Assosa University,['asu.edu.et'],['http://www.asu.edu.et/'],Ethiopia,ET,
Bahir Dar University,['bdu.edu.et'],['http://www.bdu.edu.et/'],Ethiopia,ET,
Bule Hora  University,['bulehorauniversity.com'],['http://www.bulehorauniversity.com/'],Ethiopia,ET,
Debre Birhan University,['dbu.edu.et'],['http://www.dbu.edu.et/'],Ethiopia,ET,
Dire Dawa University,['ddu.edu.et'],['http://www.ddu.edu.et/'],Ethiopia,ET,
Dilla University,['dillauniversity.edu.et'],['http://www.dillauniversity.edu.et/'],Ethiopia,ET,
Debre Markos University,['dmu.edu.et'],['http://www.dmu.edu.et/'],Ethiopia,ET,
Ethiopian Civil Service University,['ecsc.edu.et'],['http://www.ecsc.edu.et/'],Ethiopia,ET,
Haramaya University,['haramaya.edu.et'],['http://www.haramaya.edu.et/'],Ethiopia,ET,
Hawassa University,['hu.edu.et'],['http://www.hu.edu.et/'],Ethiopia,ET,
Jigjiga University,['jju.edu.et'],['http://www.jju.edu.et/'],Ethiopia,ET,
Jimma University,['ju.edu.et'],['http://www.ju.edu.et/'],Ethiopia,ET,
Mekelle Institute of Technology,['mitethiopia.edu.et'],['http://www.mitethiopia.edu.et/'],Ethiopia,ET,
Mizan Tepi University,['mtu.edu.et'],['http://www.mtu.edu.et/'],Ethiopia,ET,
Mekelle University,['mu.edu.et'],['http://www.mu.edu.et/'],Ethiopia,ET,
Madawalabu University,['mwu.edu.et'],['http://www.mwu.edu.et/'],Ethiopia,ET,
Semera University,['su.edu.et'],['http://www.su.edu.et/'],Ethiopia,ET,
Gondar University,['uog.edu.et'],['http://www.uog.edu.et/'],Ethiopia,ET,
Unity  University,['uuc.edu.et'],['http://www.uuc.edu.et/'],Ethiopia,ET,
Wolkite University,['wku.edu.et'],['http://www.wku.edu.et/'],Ethiopia,ET,
Wolaita Sodo University,['wsu.edu.et'],['http://www.wsu.edu.et/'],Ethiopia,ET,
Wollo University,['wu.edu.et'],['http://www.wu.edu.et/'],Ethiopia,ET,
Wollega University,['wuni.edu.et'],['http://www.wuni.edu.et/'],Ethiopia,ET,
University of the Faroe Islands,['setur.fo'],['http://www.setur.fo/'],Faroe Islands,FO,
Fiji National University,['fnu.ac.fj'],['http://www.fnu.ac.fj/'],Fiji,FJ,
Fiji School of Medicine,['fsm.ac.fj'],['http://www.fsm.ac.fj/'],Fiji,FJ,
University of Fiji,['unifiji.ac.fj'],['http://www.unifiji.ac.fj/'],Fiji,FJ,
University of the South Pacific,['usp.ac.fj'],['http://www.usp.ac.fj/'],Fiji,FJ,
Abo Akademi University,['abo.fi'],['http://www.abo.fi/'],Finland,FI,
Central Ostrobothnia University of Applied Sciences,['cou.fi'],['http://www.cou.fi/'],Finland,FI,
Diaconia University of Applied Sciences,['diak.fi'],['http://www.diak.fi/'],Finland,FI,
EVTEK University of Applied Sciences,['evtek.fi'],['http://www.evtek.fi/'],Finland,FI,
University of Helsinki,['helsinki.fi'],['http://www.helsinki.fi/'],Finland,FI,
Helsinki School of Economics and Business Administration,['hkkk.fi'],['http://www.hkkk.fi/'],Finland,FI,
Helsinki University of Technology,['hut.fi'],['http://www.hut.fi/'],Finland,FI,
University of Joensuu,['joensuu.fi'],['http://www.joensuu.fi/'],Finland,FI,
University of Jyväskylä,['jyu.fi'],['http://www.jyu.fi/'],Finland,FI,
Academy of Fine Arts,['kuva.fi'],['http://www.kuva.fi/'],Finland,FI,
Lahti Polytechnic,"['lamk.fi', 'student.lamk.fi']",['http://www.lamk.fi/'],Finland,FI,
Laurea University of Applied Sciences,"['laurea.fi', 'student.laurea.fi']",['http://www.laurea.fi/'],Finland,FI,
Lappeenranta University of Technology,"['lut.fi', 'student.lut.fi']",['http://www.lut.fi/'],Finland,FI,
Oulu Polytechnic,['oamk.fi'],['http://www.oamk.fi/'],Finland,FI,
University of Oulu,['oulu.fi'],['http://www.oulu.fi/'],Finland,FI,
Vaasa University of Applied Sciences,['puv.fi'],['http://www.puv.fi/'],Finland,FI,
Rovaniemi University of Applied Sciences,['ramk.fi'],['http://www.ramk.fi/'],Finland,FI,
Scandinavian Art and Business Institute,['sabi.eu.com'],['http://www.sabi.eu.com/'],Finland,FI,
Satakunta University Of Applied Scinces,['samk.fi'],['http://www.samk.fi/'],Finland,FI,
South Carelian Polytechnic,['scp.fi'],['http://www.scp.fi/'],Finland,FI,
"Swedish School of Economics and Business Administration, Finland",['shh.fi'],['http://www.shh.fi/'],Finland,FI,
Sibelius Academy,['siba.fi'],['http://www.siba.fi/'],Finland,FI,
Theatre Academy Finland,['teak.fi'],['http://www.teak.fi/'],Finland,FI,
Tampere Polytechnic,['tpu.fi'],['http://www.tpu.fi/'],Finland,FI,
Turku School of Economics and Business Administration,['tukkk.fi'],['http://www.tukkk.fi/'],Finland,FI,
Tampere University of Technology,['tut.fi'],['http://www.tut.fi/'],Finland,FI,
University of Art and Design Helsinki,['uiah.fi'],['http://www.uiah.fi/'],Finland,FI,
University of Kuopio,['uku.fi'],['http://www.uku.fi/'],Finland,FI,
University of Lapland,['ulapland.fi'],['http://www.ulapland.fi/'],Finland,FI,
University of Tampere,['uta.fi'],['http://www.uta.fi/'],Finland,FI,
University of Turku,['utu.fi'],['http://www.utu.fi/'],Finland,FI,
University of Vaasa,['uwasa.fi'],['http://www.uwasa.fi/'],Finland,FI,
Aalto University,['aalto.fi'],['https://www.aalto.fi'],Finland,FI,
Metropolia University of Applied Sciences,['metropolia.fi'],['https://www.metropolia.fi/'],Finland,FI,
42 FR,['student.42.fr'],['http://www.42.fr/'],France,FR,
Ecole de l'Air,['aea.asso.fr'],['http://www.aea.asso.fr/'],France,FR,
AgroParisTech,['agroparistech.fr'],['http://www.agroparistech.fr/'],France,FR,
Ecole Nationale Supérieure d'Agronomie de Rennes,['agro.roazhon.inra.fr'],['http://agro.roazhon.inra.fr/'],France,FR,
AgroSup Dijon,['agrosupdijon.fr'],['http://www.agrosupdijon.fr/'],France,FR,
American Graduate School in Paris,['ags.edu'],['http://www.ags.edu/'],France,FR,
American University of Paris,['aup.fr'],['http://www.aup.fr/'],France,FR,
"British Institute in Paris, University of London",['bip.lon.ac.uk'],['http://www.bip.lon.ac.uk/'],France,FR,
Ecole Supérieure de Commerce de Sophia Antipolis,['ceram.edu'],['http://www.ceram.edu/'],France,FR,
Centre d'Etudes Supérieures Industrielles Paris,['cesi.fr'],['http://www.cesi.fr/'],France,FR,
Centre de Formation et de Perfectionnement des Journalistes,['cfpj.com'],['http://www.cfpj.com/'],France,FR,
Conservatoire National des Arts et Métiers,['cnam.fr'],['http://www.cnam.fr/'],France,FR,
Centre National d'Etudes Agronomiques des Régions Chaudes,['cnearc.fr'],['http://www.cnearc.fr/'],France,FR,
Ecole Supérieure de Chimie Physique Electronique de Lyon,['cpe.fr'],['http://www.cpe.fr/'],France,FR,
Université Bordeaux I,['cribx1.u-bordeaux.fr'],['http://www.cribx1.u-bordeaux.fr/'],France,FR,
Institut des Sciences de l'Ingénieur de Clermont-Ferrand,['cust.univ-bpclermont.fr'],['http://cust.univ-bpclermont.fr/'],France,FR,
Université Paris-Dauphine (Paris IX),['dauphine.fr'],['http://www.dauphine.fr/'],France,FR,
Ecole Superieur d'Ingenieurs Leonard de Vinci,['devinci.fr'],['http://www.devinci.fr/'],France,FR,
Ecole d'Ingénieurs en Informatique pour l'Industrie,['e3i.univ-tours.fr'],['http://www.e3i.univ-tours.fr/'],France,FR,
Ecole Européen des Affaires,['eap.fr'],['http://www.eap.fr/'],France,FR,
European Business School,['ebs-paris.com'],['http://www.ebs-paris.com/'],France,FR,
Ecole Catholique d'Arts & Metiers,['ecam.fr'],['http://www.ecam.fr/'],France,FR,
Ecole Centrale d'Electronique - ECE,['ece.fr'],['http://www.ece.fr/'],France,FR,
IMT Atlantique,['imt-atlantique.net'],['https://www.imt-atlantique.fr/'],France,FR,
Ecole Centrale de Lille,['ec-lille.fr'],['http://www.ec-lille.fr/'],France,FR,
Ecole Centrale de Lyon,['ec-lyon.fr'],['http://www.ec-lyon.fr/'],France,FR,
Ecole Centrale de Nantes,['ec-nantes.fr'],['http://www.ec-nantes.fr/'],France,FR,
Ecole Centrale de Marseille,['centrale-marseille.fr'],['https://www.centrale-marseille.fr/'],France,FR,
IDRAC (Institut de recherche en action commerciale),['ecoles-idrac.com'],['http://www.ecoles-idrac.com/'],France,FR,
Ecole des Hautes Etudes Commerciales du Nord,['edu.edhec.com'],['http://edu.edhec.com/'],France,FR,
Ecole pour les Etudes et la Recherche en Informatique et Electronique,['eerie.fr'],['http://www.eerie.fr/'],France,FR,
Ecole Française de Papeterie et des Industries Graphiques,['efpg.inpg.fr'],['http://www.efpg.inpg.fr/'],France,FR,
Ecole Française d'Electronique et d'Informatique,['efrei.fr'],['http://www.efrei.fr/'],France,FR,
Ecole des Ingénieurs de la Ville de Paris,['eivp-paris.fr'],['http://www.eivp-paris.fr/'],France,FR,
European Management Center Paris,['emc-campus.com'],['http://www.emc-campus.com/'],France,FR,
Ecole Supérieure de Commerce de Lyon,['em-lyon.com'],['http://www.em-lyon.com/'],France,FR,
Ecole Nationale Supérieure des Mines de St-Etienne,['emse.fr'],['http://www.emse.fr/'],France,FR,
Ecole Nationale de l'Aviation Civile,['enac.fr'],['http://www.enac.fr/'],France,FR,
Ecole Nationale d'Administration,['ena.fr'],['http://www.ena.fr/'],France,FR,
ENIC Telecom Lille 1,['enic.fr'],['http://www.enic.fr/'],France,FR,
Ecole Nationale d'Ingénieurs de Metz,['enim.fr'],['http://www.enim.fr/'],France,FR,
Ecole Nationale d'Ingénieurs de Saint-Etienne,['enise.fr'],['http://www.enise.fr/'],France,FR,
Ecole Nationale d'Ingénieurs des Travaux Agricoles de Bordeaux,['enitab.fr'],['http://www.enitab.fr/'],France,FR,
Ecole Nationale d'Ingénieurs des Travaux Agricoles de Clermont-Ferrand,['enitac.fr'],['http://www.enitac.fr/'],France,FR,
Ecole Nationale d'Ingénieurs de Tarbes,['enit.fr'],['http://www.enit.fr/'],France,FR,
Ecole Nationale d'Ingénieurs des Techniques des Industries Agricoles et Alimentaires,['enitiaa-nantes.fr'],['http://www.enitiaa-nantes.fr/'],France,FR,
Ecole Nationale de la Météorologie,['enm.meteo.fr'],['http://www.enm.meteo.fr/'],France,FR,
Ecole Nationale des Ponts et Chausees,['enpc.fr'],['http://www.enpc.fr/'],France,FR,
Ecole Nationale Supérieur de Mécaniques et des Microtechniques,['ens2m.fr'],['http://www.ens2m.fr/'],France,FR,
Ecole Nationale de la Statistique et de l'Administration Economique,['ensae.fr'],['http://www.ensae.fr/'],France,FR,
Ecole Nationale Supérieure d'Agronomie et des Industries Alimentaires,['ensaia.u-nancy.fr'],['http://www.ensaia.u-nancy.fr/'],France,FR,
Ecole Nationale de la Statistique et de l'Analyse de l'information,['ensai.fr'],['http://www.ensai.fr/'],France,FR,
Ecole Nationale Supérieure des Arts et Industries Textiles,['ensait.fr'],['http://www.ensait.fr/'],France,FR,
Ecole Nationale Supérieure d'Agronomie de Montpellier,['ensam.inra.fr'],['http://www.ensam.inra.fr/'],France,FR,
Ecole Nationale Supérieure Agronomique de Toulouse,['ensat.fr'],['http://www.ensat.fr/'],France,FR,
Ecole Normale Supérieure de Cachan,['ens-cachan.fr'],['http://www.ens-cachan.fr/'],France,FR,
